title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,synopsis
8244,Getting to Know Grace,DRAMA,"Hilde,Mokma",FRIDAY,3,28998,9.55,382870,48356,COMPLETED,"Andrew is the only daughter of the famous Grace family. She also has an incurable disease. Due to her family’s high status in society, Andrew grew up with no friends save for her maid, Herta, whom she has become intensely infatuated with. Little does she know, her family is responsible for ruining Herta’s life. Can Andrew break the hierarchy and be with her? Or will Herta end her suffering first...

This series contains themes regarding abuse, sexual assault and child abuse that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/).

"
8243,Haechi's Princess,ROMANCE,studio Weiib,WEDNESDAY,3,16907,6.5,131285,11292,COMPLETED,"What if a myth from 300 years ago wasn’t just a myth? According to Joseon legends, it has been told that Haechi, the youngest son of the Jade Emperor, was inseparable from the Princess So-yang. Following the recent discovery of the princess’s tomb, Lee Young-gwang is chosen to curate the exhibition. However, it seems there were more than just ruins in the tomb that was excavated… Haechi reappears in modern-day Korea to search for his princess. Will he be able to find her? And is Young-gwang ready for the adventure that awaits her, full of danger and centuries-old vengeance?"
8242,Leveling Up in an Exclusive Dungeon,ACTION,"OH SE KWON,KJ STUDIO,GAON-GIL",SUNDAY,11,51616,6.33,568465,36279,ONGOING,"Guilds are there to protect hunters, right? Right...?
Nope. All they seem to protect is their own interests. As they monopolize hunting grounds, the monsters, and even the XP points, Jinhyeok, our MC and a hunter without guild affiliation, is left bouncing from one part-time job to another just to scrape by. What he needs is an opening. A shot. A crack in the system. Then the universe provides one. In his attic. What?!"
8241,Eat Before You Go,FANTASY,"Kim Haema,the Bichon,Ko Doo Yeol",THURSDAY,10,108948,8.07,1508998,90052,ONGOING,"After 30 years in the other world and defeating the demon lord, Cheolho Kang finally returns to Earth-- only to find it overrun with monsters and hunters. Tired of endless battles, he opens a small restaurant and wishes to live in peace. 
With dishes to make and a baby dragon to raise, a heartwarming tale where every visitor brings a story is set to begin."
8213,Boutique at 97 Sheldon Street,ROMANCE,Young Hyeon,SATURDAY,3,81037,8.24,931005,105114,COMPLETED,"Yu-eun is a burned-out designer whose sole hobby is gaming. Just when she decides to take a break for once and enjoy her pastime, she is met with a system error. But wait... why is the error screen appearing before her in real life?! That’s when Yu-eun is transported into the game as her character, where she soon finds her place working as a talented designer at a boutique on 97 Sheldon Street. She catches the eye of Lord Ashton Richmond, whom she assumes is an NPC. Yet this NPC seems to act a bit too familiar with her..."
8212,The Gourmet Gamer,FANTASY,"studio Weiib,In Key-Young",THURSDAY,6,75036,9.6,3011020,368245,COMPLETED,"Star chef, Lee Rim’s life fell apart a year ago when he lost his sense of smell and taste. For a whole year, he stayed holed up in his house, devastated at the fact that his cooking career was over. However, the immersive VR game “Real,” provided Rim, who goes as “Rice” in the game, with a way to cope with reality. Real restored all five of his senses, enabling him to pick up cooking again, and it seems like he’s still got the chops because everyone in the game is willing to pay him for his food!
"
8211,Proof of Dignity,DRAMA,"Juckrok,yum.m",SATURDAY,10,39872,9.82,387603,40453,ONGOING,"Geonyeong is a brilliant girl. Despite being underprivileged, her exceptional intellect allows her to enroll in the prestigious Pyeonghyeon High School. 
There, she meets new competitors and friends. She struggles to compete with all the other privileged students who have expensive lessons.
Amidst these challenges, she is determined to succeed and become a judge. This is Geonyeong's journey to prove that despite the disadvantages life has dealt her, she is worthy of respect.
"
8206,Why Ophelia Couldn't Leave,ROMANCE,"Joo ahri,samo",WEDNESDAY,3,34308,5.06,556576,35681,COMPLETED,"When her mother remarries into the Arpad dukedom, Ophelia finds herself uprooted into the Arpad nobility. However, due to a tragic carriage accident, Ophelia's mother and stepfather suddenly lose their lives. Alexander, her stepbrother, urges her to stay in the Arpad household for the next three years. One day, Ophelia hears devastating news from an investigator that changes everything. ""The deaths of the Duke and Duchess of Arpad that took place this very day, three years ago... were not accidental deaths, but murders."
8205,The Circumstances of the Lying Empress,ROMANCE,"Soyoka Awai,YFALL",MONDAY,10,21271,6.94,196233,15919,ONGOING,"Peace is a prize that must be won at all costs– but what if that peace is based on a lie? When palace maid Kochun discovers a shocking secret about the princess of the enemy kingdom married to her emperor, her life is cast into turmoil as she becomes embroiled in palace intrigue surrounding the new empress. A kind yet courageous soul, Kochun vows to remain loyal as the empress’s personal maid, but the storm ahead threatens to smash the fragile peace between the Kingdom of Bansa and the Kingdom of Yufe to pieces…"
8204,The Day the Real One Appeared,ROMANCE,"Eungeuru,Yusabing,G-ANNE",MONDAY,11,32718,8.05,261011,19625,ONGOING,"Ever since falling ill as a child, Mel Slofi has had white hair. However, this trait brings her more than she bargained for when it leads her to be mistaken for the lost daughter of a duke-- even being told by the duke’s son to keep up the facade in order to protect his fragile father.
But when Mel sees a mysterious woman at a grand ball who perfectly matches the photos she’s seen of the duke’s real daughter, she begins to worry that the truth may be catching up to her."
8203,The Pure Heart of a Monster,ROMANCE,"youngyoungmel,Yim Hye",SATURDAY,11,43252,9.28,354275,25316,ONGOING,"Deep beneath the ocean lies the Alabaster Sea Kingdom, where its king, Taerang, faces a deadly curse. Born without a heart, he must steal one from a woman who truly loves him or die on his 25th birthday. Having given up all hope as his cursed body convulses at any woman's touch, everything changes when a mysterious woman named Sollu appears. Now, the arrogant king must race against time to win her heart before it's too late!"
8202,Ancient Animal Tales,DRAMA,Kojehyeong,WEDNESDAY,10,38199,9.34,348815,34847,ONGOING,"What does it take for an animal to live and survive? What would it choose to die for?
A T. rex, washed ashore and stranded on an island for over 20 years, waits for the day he can take his final breath. But just when that moment seems near, hope arrives.
A collection of stories about the great creatures that have roamed the Earth before us."
8201,"On Your Knees, Your Highness!",ROMANCE,"gachunga,kongsam,Jkyum",TUESDAY,10,109281,9.55,1173652,93666,ONGOING,"Everyone dreams of knocking out their insufferable boss, but what if that boss is a war hero, a duke, and constantly breathing down your neck? For Chloe, enduring Curtis's relentless inspections was a daily struggle... Until a royal marriage decree offers her an unexpected way out.				"
8200,Artifact-Devouring Player,ACTION,"VENTI,kiin",FRIDAY,11,112042,6.82,1752752,93685,ONGOING,"Sanghyeon has the uncanny ability to absorb powers of magical artifacts—by devouring them. But it took him thirty years to master, and at fifty-five, it’s too late to escape mediocrity. Then one day, he’s miraculously sent back in time to the fateful day he awakened his powers as a monster-hunting player. With a chance for a do-over, he wastes no time using his ability to its full potential, rapidly absorbing incredible powers and rising through the ranks, determined to become the hero he always dreamed of being."
